$map << EOD
0.36 0.61 78.05


0.35 0.19 68.43
0.31 0.27 71.54
0.41 0.26 67.79
0.35 0.19 68.43


-0.20 -0.02 87.03
-0.25 -0.01 90.98
-0.21 0.05 87.49
-0.20 -0.02 87.03


-0.29 -0.05 90.82
-0.30 -0.00 100.00
-0.25 -0.01 90.98
-0.29 -0.05 90.82


0.04 0.11 78.41
0.13 0.08 74.63
0.07 0.04 76.43
0.04 0.11 78.41


0.68 -0.23 46.03
0.61 -0.30 47.97
0.57 -0.23 50.52
0.68 -0.23 46.03


0.01 -0.01 78.10
-0.04 0.05 80.78
0.01 0.06 78.86
0.01 -0.01 78.10


0.03 -0.50 71.43
-0.09 -0.45 80.11
0.03 -0.40 73.21
0.03 -0.50 71.43


0.75 0.40 61.76
0.65 0.31 61.18
0.65 0.42 65.44
0.75 0.40 61.76


0.15 -0.01 72.69
0.15 -0.12 71.12
0.08 -0.06 74.83
0.15 -0.01 72.69


-0.17 0.07 85.22
-0.21 0.05 87.49
-0.20 0.10 85.72
-0.17 0.07 85.22


0.14 0.46 78.91
0.12 0.55 78.74
0.20 0.53 77.78
0.14 0.46 78.91


0.68 0.18 54.82
0.65 0.31 61.18
0.73 0.27 56.27
0.68 0.18 54.82


0.68 0.08 50.99
0.63 -0.03 50.99
0.57 0.05 55.49
0.68 0.08 50.99


-0.03 0.33 85.86
-0.08 0.29 85.89
-0.07 0.35 89.62
-0.03 0.33 85.86


-0.15 0.30 86.73
-0.08 0.29 85.89
-0.13 0.25 85.30
-0.15 0.30 86.73


0.15 -0.12 71.12
0.06 -0.15 74.70
0.08 -0.06 74.83
0.15 -0.12 71.12


0.61 -0.30 47.97
0.50 -0.30 52.05
0.57 -0.23 50.52
0.61 -0.30 47.97


0.35 0.19 68.43
0.38 0.10 65.24
0.29 0.12 69.37
0.35 0.19 68.43


0.31 0.03 66.58
0.23 -0.04 68.61
0.22 0.06 70.79
0.31 0.03 66.58


0.89 -0.02 28.97
0.96 -0.10 27.82
0.87 -0.12 35.38
0.89 -0.02 28.97


0.48 0.07 60.31
0.38 0.10 65.24
0.45 0.17 64.03
0.48 0.07 60.31


0.93 -0.20 37.23
0.80 -0.19 40.78
0.87 -0.12 35.38
0.93 -0.20 37.23


0.58 -0.39 46.97
0.69 -0.35 44.55
0.66 -0.43 43.42
0.58 -0.39 46.97


-0.14 -0.31 84.52
-0.18 -0.26 84.85
-0.12 -0.25 82.53
-0.14 -0.31 84.52


-0.09 -0.03 82.16
-0.11 0.04 83.20
-0.05 -0.00 80.64
-0.09 -0.03 82.16


0.25 0.47 76.49
0.14 0.46 78.91
0.20 0.53 77.78
0.25 0.47 76.49


0.50 0.80 100.00
0.56 0.70 81.90
0.48 0.69 82.67
0.50 0.80 100.00


0.38 0.10 65.24
0.31 0.03 66.58
0.29 0.12 69.37
0.38 0.10 65.24


0.41 -0.00 61.82
0.31 0.03 66.58
0.38 0.10 65.24
0.41 -0.00 61.82


-0.20 0.20 84.95
-0.18 0.25 85.24
-0.14 0.21 84.69
-0.20 0.20 84.95


0.41 -0.19 58.17
0.49 -0.21 54.57
0.42 -0.28 56.17
0.41 -0.19 58.17


0.79 -0.06 39.94
0.89 -0.02 28.97
0.87 -0.12 35.38
0.79 -0.06 39.94


0.46 0.60 77.84
0.42 0.67 81.00
0.48 0.69 82.67
0.46 0.60 77.84


0.70 -0.80 0.00
0.59 -0.75 30.12
0.65 -0.69 28.67
0.70 -0.80 0.00


0.80 -0.19 40.78
0.79 -0.06 39.94
0.87 -0.12 35.38
0.80 -0.19 40.78


0.81 0.30 54.53
0.78 0.17 49.04
0.73 0.27 56.27
0.81 0.30 54.53


0.31 0.27 71.54
0.23 0.30 74.61
0.28 0.36 74.24
0.31 0.27 71.54


0.74 -0.70 26.86
0.70 -0.80 0.00
0.65 -0.69 28.67
0.74 -0.70 26.86


0.49 -0.21 54.57
0.50 -0.30 52.05
0.42 -0.28 56.17
0.49 -0.21 54.57


-0.21 -0.16 84.63
-0.26 -0.15 85.57
-0.23 -0.12 86.00
-0.21 -0.16 84.63


0.22 0.06 70.79
0.20 0.15 73.06
0.29 0.12 69.37
0.22 0.06 70.79


0.04 0.20 80.00
0.12 0.24 77.76
0.12 0.16 76.38
0.04 0.20 80.00


0.14 0.46 78.91
0.11 0.38 79.79
0.07 0.43 81.32
0.14 0.46 78.91


0.59 -0.75 30.12
0.56 -0.64 38.11
0.65 -0.69 28.67
0.59 -0.75 30.12


0.59 -0.75 30.12
0.48 -0.70 41.52
0.56 -0.64 38.11
0.59 -0.75 30.12


0.20 0.15 73.06
0.26 0.21 72.09
0.29 0.12 69.37
0.20 0.15 73.06


0.52 0.50 72.57
0.46 0.60 77.84
0.54 0.60 76.26
0.52 0.50 72.57


0.26 0.21 72.09
0.20 0.15 73.06
0.18 0.23 75.21
0.26 0.21 72.09


0.34 -0.16 62.02
0.44 -0.11 58.51
0.41 -0.19 58.17
0.34 -0.16 62.02


-0.11 0.04 83.20
-0.04 0.05 80.78
-0.05 -0.00 80.64
-0.11 0.04 83.20


0.52 0.50 72.57
0.57 0.40 67.28
0.49 0.43 70.58
0.52 0.50 72.57


0.81 -0.50 40.36
0.69 -0.52 40.13
0.75 -0.42 42.26
0.81 -0.50 40.36


-0.25 -0.20 84.83
-0.21 -0.16 84.63
-0.21 -0.22 84.52
-0.25 -0.20 84.83


0.48 0.07 60.31
0.41 -0.00 61.82
0.38 0.10 65.24
0.48 0.07 60.31


0.49 -0.42 49.58
0.38 -0.44 54.33
0.43 -0.36 53.92
0.49 -0.42 49.58


0.38 -0.44 54.33
0.26 -0.49 59.19
0.28 -0.40 60.20
0.38 -0.44 54.33


-0.18 -0.26 84.85
-0.16 -0.20 83.47
-0.12 -0.25 82.53
-0.18 -0.26 84.85


0.20 0.15 73.06
0.13 0.08 74.63
0.12 0.16 76.38
0.20 0.15 73.06


0.59 -0.48 44.11
0.49 -0.42 49.58
0.58 -0.39 46.97
0.59 -0.48 44.11


0.62 0.60 74.33
0.69 0.50 68.16
0.60 0.49 70.27
0.62 0.60 74.33


0.31 0.27 71.54
0.37 0.34 71.01
0.41 0.26 67.79
0.31 0.27 71.54


-0.20 0.10 85.72
-0.17 0.16 84.80
-0.14 0.11 84.25
-0.20 0.10 85.72


0.56 0.15 58.65
0.50 0.24 63.90
0.59 0.23 60.40
0.56 0.15 58.65


0.50 -0.30 52.05
0.49 -0.42 49.58
0.43 -0.36 53.92
0.50 -0.30 52.05


0.57 0.40 67.28
0.52 0.50 72.57
0.60 0.49 70.27
0.57 0.40 67.28


-0.18 -0.26 84.85
-0.14 -0.31 84.52
-0.18 -0.32 86.91
-0.18 -0.26 84.85


-0.29 -0.05 90.82
-0.25 -0.01 90.98
-0.24 -0.06 87.95
-0.29 -0.05 90.82


0.33 -0.25 60.47
0.26 -0.22 64.54
0.34 -0.16 62.02
0.33 -0.25 60.47


0.26 0.21 72.09
0.35 0.19 68.43
0.29 0.12 69.37
0.26 0.21 72.09


0.12 0.24 77.76
0.06 0.30 81.03
0.16 0.31 77.35
0.12 0.24 77.76


0.52 -0.03 56.45
0.48 0.07 60.31
0.57 0.05 55.49
0.52 -0.03 56.45


-0.08 0.29 85.89
-0.09 0.21 83.90
-0.13 0.25 85.30
-0.08 0.29 85.89


0.35 -0.35 57.84
0.38 -0.44 54.33
